trade_number,timestamp_cell1,cumulative_pnl_cell1,timestamp_cell2,cumulative_pnl_cell2,timestamp_cell3,cumulative_pnl_cell3
1,1778803200,44.92753623188404,1778803200,-100.0,1779494400,2.5641025641025665
2,1778803200,48.55447923706538,1778803200,-89.50276243093923,1779507672,22.32458160601872
3,1779494400,51.11858180116795,1778803200,-44.57522619905519,1779580800,45.0239681090862
4,1779507672,70.8790608430841,1779321600,-38.75512037894937,1779634592,49.73600999390295
5,1779580800,93.57844734615158,1779408000,-33.9333174439389,1779753600,-50.26399000609707
6,1779634592,98.29048923096832,1779415104,-20.93896716145302,1780012800,-150.26399000609706
7,1779753600,-1.709510769031695,1779422791,-18.898150834922408,1780012800,-141.0340610055509
8,1780012800,-101.7095107690317,1779580800,3.8012356681450683,1780099200,-101.17392114541107
9,1780012800,-81.22758305818833,1779634751,8.513277552961814,1780185600,-85.56698472922609
10,1780012800,-181.22758305818832,1779753600,-91.4867224470382,1780185600,-185.56698472922608
11,1780099200,-141.36744319804848,1780012800,-191.4867224470382,1780185600,2.202799443435765
12,1780185600,-125.7605067818635,1780012800,-185.6105975132108,1780185600,16.61927541597581
13,1780185600,-225.7605067818635,1780012800,-285.6105975132108,1780185600,-83.3807245840242
14,1780185600,-37.99072260920167,1780099200,-213.19680440976254,1780185600,-7.942128092796139
15,1780185600,6.936813622682372,1780185600,-195.54974558623312,1780876800,-4.529511753602766
16,1780185600,21.353289595222417,1780185600,-91.46811293317188,1781137800,-104.52951175360276
17,1780185600,-78.64671040477758,1780185600,-191.46811293317188,1781312400,-6.509709773404737
18,1780185600,-55.94732390171011,1780185600,-3.6983287605100372,1781481600,85.79798253428756
19,1780185600,19.491272589517948,1780185600,10.718147212030008,1781481600,586.3985831348882
20,1780876800,22.90388892871132,1780185600,33.417533715097484,1781495940,596.7129791635699
21,1781137800,975.5354678760797,1780185600,108.85613020632553,1781539200,496.7129791635699
22,1781137800,875.5354678760797,1780790400,8.856130206325531,1781571600,396.7129791635699
23,1781312400,973.5552698562777,1780876800,12.268746545518905,1781636400,494.73278114376797
24,1781377200,873.5552698562777,1781312400,114.28894856572093,1781726400,554.732781143768
25,1781395200,773.5552698562777,1781395200,14.288948565720943,1781809200,567.7271314262539
26,1781456400,850.5464202987556,1781481600,106.59664087341324,1781809200,467.7271314262539
27,1781481600,942.8541126064479,1781481600,649.6834575936705,1781820000,538.6673023664248
28,1781481600,1443.4547132070484,1781481600,549.6834575936705,1781827200,611.6776829892622
29,1781495940,1453.7691092357302,1781636400,647.7032595738685,1781895600,666.7164426791846
30,1781539200,1353.7691092357302,1781726400,707.7032595738685,1781906400,729.3180686954448
31,1781571600,1253.7691092357302,1781809200,607.7032595738685,1781974800,794.6073248937919
32,1781636400,1351.7889112159282,1781820000,678.6434305140394,1781985600,840.5927263536458
33,1781726400,1411.7889112159282,1781827200,745.1713239361876,1782057600,844.2196693588272
34,1781755140,1414.8285814889834,1781895600,800.2100836261101,1782068400,744.2196693588272
35,1781809200,1427.8229317714693,1781906400,862.8117096423703,1782068400,768.4432718432993
36,1781809200,1327.8229317714693,1781974800,868.6318154624761,1782068400,806.3743063260579
37,1781820000,1398.7631027116402,1781985600,914.61721692233,1782079200,706.3743063260579
38,1781827200,1298.7631027116402,1782068400,1008.7919742038835,1782079200,606.3743063260579
39,1781827200,1365.2909961337884,1782068400,908.7919742038835,1782090000,506.3743063260579
40,1781895600,1420.329755823711,1782079200,808.7919742038835,1782090000,831.906221219675
41,1781906400,1482.931381839971,1782129600,830.7431937160786,1782147600,873.7501928508807
42,1781974800,1548.2206380383182,1782147600,872.5871653472843,1782147600,773.7501928508807
43,1781985600,1594.2060394981722,1782162000,940.6543922380406,1782162000,780.7020645086347
44,1782000000,1596.5601848410586,1782183600,1158.1147096983582,1782162000,891.2283802981085
45,1782057600,1600.18712784624,1782244800,1058.1147096983582,1782183600,1108.688697758426
